Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,top_comment_user,top_comment,thumbs_up
337,League of Legends: Capsula Prime Gaming,,,False,PrimeGaming,Santidelric,2021-10-27,,https://www.promodescuentos.com/ofertas/league-of-legends-capsula-prime-gaming-663236,Videojuegos,Amazon Prime,,,,,,,,,,
317,Chedraui Alfredo del mazo Assassin's creed III switch,249.0,,False,Chedraui,JuanPabloRex,2021-10-27,Local,https://www.promodescuentos.com/ofertas/chedraui-alfredo-del-mazo-assassins-creed-iii-663234,Videojuegos,Juegos,Juegos de Nintendo Switch,,,,,,,,,
219,Amazon: Best Trading 100 Cubrebocas tricapa,179.0,209.0,False,Amazon,luz.rocher,2021-10-27,,https://www.promodescuentos.com/ofertas/amazon-best-trading-100-cubrebocas-tricapa-663233,Salud y belleza,Medicamentos y artículos de farmacia,Cubrebocas,,,,,,,,,
-261,"Costco, Microsoft Surface Laptop 3 con i5",23999.0,33699.0,False,Costco,marius.mendoza,2021-10-27,,https://www.promodescuentos.com/ofertas/microsoft-surface-laptop-3-con-i5-663229,Tecnología,Computadoras y tablets,Laptops,,,,,,,,,
1454,Cinépolis: refill de palomitas y topping gratis presentando cubeta promocional,,,False,Cinépolis,erickbeatle,2021-10-27,,https://www.promodescuentos.com/ofertas/cinepolis-refill-de-palomitas-y-topping-gratis-presentando-cubeta-promocional-663228,Entretenimiento y tiempo libre,Alimentos,Cine,Dulces,,,,,,AdrianHerrer-c30a6.07471,1 refil valido x TCC es nacional,8
704,"Cyberpuerta: SSD Western Digital WD Green SN350 NVMe, 480GB 2400 MB/s",889.0,,False,CyberPuerta,rpunk77,2021-10-27,,https://www.promodescuentos.com/ofertas/cyberpuerta-ssd-western-digital-wd-green-sn350-nvme-480gb-2400-mbs-663227,Tecnología,Computadoras y tablets,Computadoras armadas,SSD,,,,,,,,
-278,AliExpress - Asus Rog Phone 5s GLOBAL,24082.0,24700.0,False,,AARP41298,2021-10-27,China,https://www.promodescuentos.com/ofertas/aliexpress-asus-rog-phone-5s-global-663226,Tecnología,Celulares,Celulares y telefonía,,,,,,,Marcelo_Santiago,Mejor un PC Gamer de gama media,5
683,"Amazon, Letrero de luz neón USB",199.0,,False,Amazon,thejaviersinx,2021-10-27,,https://www.promodescuentos.com/ofertas/letrero-de-luz-neon-usb-663223,Hogar,Decoración y accesorios para el hogar,,,,,,,,elpolloloco,Soy un adulto independiente,39
-305,Office Depot Varias Ofertas de Computadoras,,,False,OfficeDepot,kal5440,2021-10-27,,https://www.promodescuentos.com/ofertas/office-depot-varias-ofertas-de-computadoras-663218,Tecnología,Computadoras y tablets,,,,,,,,chimal007,"No se ustedes pero no veo nada barato, puro precio inflado    ",12
571,Refrigerador whirpool 12 pies y lavadora winnia 19 kilos home depot villahermosa,4749.0,9499.0,False,HomeDepot,Freddy.delacruz,2021-10-27,Local,https://www.promodescuentos.com/ofertas/refrigerador-whirpool-12-pies-y-lavadora-winnia-19-kilos-home-depot-villahermosa-663219,Hogar,Electrodomésticos,Lavadoras,Refrigeradores,,,,,,Vanne479,"No compren Refrigeradores whirpool no duran nada y su servicio al cliente es pésimo ,vean cuántas quejas hay en su Facebook",7
