Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,top_comment_user,top_comment,thumbs_up
342,League of Legends: Capsula Prime Gaming,,,False,PrimeGaming,Santidelric,2021-10-27,,https://www.promodescuentos.com/ofertas/league-of-legends-capsula-prime-gaming-663236,Videojuegos,Amazon Prime,,,,,,,,,,
321,Chedraui Alfredo del mazo Assassin's creed III switch,249.0,,False,Chedraui,JuanPabloRex,2021-10-27,Local,https://www.promodescuentos.com/ofertas/chedraui-alfredo-del-mazo-assassins-creed-iii-663234,Videojuegos,Juegos,Juegos de Nintendo Switch,,,,,,,,,
223,Amazon: Best Trading 100 Cubrebocas tricapa,179.0,209.0,True,Amazon,luz.rocher,2021-10-27,,https://www.promodescuentos.com/ofertas/amazon-best-trading-100-cubrebocas-tricapa-663233,Salud y belleza,Medicamentos y artículos de farmacia,Cubrebocas,,,,,,,,,
-272,"Costco, Microsoft Surface Laptop 3 con i5",23999.0,33699.0,True,Costco,marius.mendoza,2021-10-27,,https://www.promodescuentos.com/ofertas/microsoft-surface-laptop-3-con-i5-663229,Tecnología,Computadoras y tablets,Laptops,,,,,,,,,
1907,Cinépolis: refill de palomitas y topping gratis presentando cubeta promocional,,,False,Cinépolis,erickbeatle,,,https://www.promodescuentos.com/ofertas/cinepolis-refill-de-palomitas-y-topping-gratis-presentando-cubeta-promocional-663228,Entretenimiento y tiempo libre,Alimentos,Cine,Dulces,,,,,,,,
742,"Cyberpuerta: SSD Western Digital WD Green SN350 NVMe, 480GB 2400 MB/s",889.0,,False,CyberPuerta,rpunk77,2021-10-27,,https://www.promodescuentos.com/ofertas/cyberpuerta-ssd-western-digital-wd-green-sn350-nvme-480gb-2400-mbs-663227,Tecnología,Computadoras y tablets,Computadoras armadas,SSD,,,,,,,,
-283,AliExpress - Asus Rog Phone 5s GLOBAL,24082.0,24700.0,False,,AARP41298,2021-10-27,China,https://www.promodescuentos.com/ofertas/aliexpress-asus-rog-phone-5s-global-663226,Tecnología,Celulares,Celulares y telefonía,,,,,,,,,
852,"Amazon, Letrero de luz neón USB",199.0,,True,Amazon,thejaviersinx,2021-10-27,,https://www.promodescuentos.com/ofertas/letrero-de-luz-neon-usb-663223,Hogar,Decoración y accesorios para el hogar,,,,,,,,,,
-325,Office Depot Varias Ofertas de Computadoras,,,False,OfficeDepot,kal5440,2021-10-27,,https://www.promodescuentos.com/ofertas/office-depot-varias-ofertas-de-computadoras-663218,Tecnología,Computadoras y tablets,,,,,,,,,,
571,Refrigerador whirpool 12 pies y lavadora winnia 19 kilos home depot villahermosa,4749.0,9499.0,False,HomeDepot,Freddy.delacruz,2021-10-27,Local,https://www.promodescuentos.com/ofertas/refrigerador-whirpool-12-pies-y-lavadora-winnia-19-kilos-home-depot-villahermosa-663219,Hogar,Electrodomésticos,Lavadoras,Refrigeradores,,,,,,,,
78,"Amazon, Nido Kinder a 51 pesos envio gratis con prime",51.0,,True,Amazon,rafacoral,2021-10-27,Mexico,https://www.promodescuentos.com/ofertas/nido-kinder-a-51-pesos-envio-gratis-con-prime-663216,Abarrotes y alimentos,Alimentos,,,,,,,,,,
